Id,MSSubClass,LotArea,YearBuilt,GarageYrBlt,GarageArea,YrSold,SalePrice
1,60,8450,2003,2003,548,2008,208500
2,20,9600,1976,1976,460,2007,181500
3,60,11250,2001,2001,608,2008,223500
4,70,9550,1915,1998,642,2006,140000
5,60,14260,2000,2000,836,2008,250000
6,50,14115,1993,1993,480,2009,143000
7,20,10084,2004,2004,636,2007,307000
8,60,10382,1973,1973,484,2009,200000
9,50,6120,1931,1931,468,2008,129900
10,190,7420,1939,1939,205,2008,118000
11,20,11200,1965,1965,384,2008,129500
12,60,11924,2005,2005,736,2006,345000
13,20,12968,1962,1962,352,2008,144000
14,20,10652,2006,2006,840,2007,279500
15,20,10920,1960,1960,352,2008,157000
16,45,6120,1929,1991,576,2007,132000
17,20,11241,1970,1970,480,2010,149000
18,90,10791,1967,1967,516,2006,90000
19,20,13695,2004,2004,576,2008,159000
20,20,7560,1958,1958,294,2009,139000
21,60,14215,2005,2005,853,2006,325300
22,45,7449,1930,1930,280,2007,139400
23,20,9742,2002,2002,534,2008,230000
24,120,4224,1976,1976,572,2007,129900
25,20,8246,1968,1968,270,2010,154000
26,20,14230,2007,2007,890,2009,256300
27,20,7200,1951,2005,576,2010,134800
28,20,11478,2007,2008,772,2010,306000
29,20,16321,1957,1957,319,2006,207500
30,30,6324,1927,1920,240,2008,68500
31,70,8500,1920,1920,250,2008,40000
32,20,8544,1966,1966,271,2008,149350
33,20,11049,2007,2007,484,2008,179900
34,20,10552,1959,1959,447,2010,165500
35,120,7313,2005,2005,556,2007,277500
36,60,13418,2004,2004,691,2006,309000
37,20,10859,1994,1995,672,2009,145000
38,20,8532,1954,1954,498,2009,153000
39,20,7922,1953,1953,246,2010,109000
40,90,6040,1955,NA,0,2008,82000
41,20,8658,1965,1965,440,2006,160000
42,20,16905,1959,1959,308,2007,170000
43,85,9180,1983,1983,504,2007,144000
44,20,9200,1975,1977,308,2008,130250
45,20,7945,1959,1959,300,2006,141000
46,120,7658,2005,2005,576,2010,319900
47,50,12822,2003,2003,670,2009,239686
48,20,11096,2006,2006,826,2007,249700
49,190,4456,1920,NA,0,2009,113000
50,20,7742,1966,1966,386,2007,127000
51,60,13869,1997,1997,388,2007,177000
52,50,6240,1934,1985,528,2006,114500
53,90,8472,1963,1963,516,2010,110000
54,20,50271,1981,1981,894,2006,385000
55,80,7134,1955,1962,572,2007,130000
56,20,10175,1964,1964,576,2008,180500
57,160,2645,1999,1999,480,2009,172500
58,60,11645,2004,2004,565,2006,196500
59,60,13682,2006,2006,641,2006,438780
60,20,7200,1972,1973,352,2008,124900
61,20,13072,2004,2006,576,2006,158000
62,75,7200,1920,1935,288,2007,101000
63,120,6442,2006,2006,484,2007,202500
64,70,10300,1921,1990,480,2010,140000
65,60,9375,1997,1998,645,2009,219500
66,60,9591,2004,2004,852,2007,317000
67,20,19900,1970,1970,576,2010,180000
68,20,10665,2003,2003,558,2007,226000
69,30,4608,1945,1945,220,2010,80000
70,50,15593,1953,1953,667,2006,225000
71,20,13651,1973,1973,516,2007,244000
72,20,7599,1982,1987,360,2007,129500
73,60,10141,1998,1998,427,2009,185000
74,20,10200,1954,1989,490,2010,144900
75,50,5790,1915,1915,379,2010,107400
76,180,1596,1973,1973,297,2009,91000
77,20,8475,1956,1956,283,2008,135750
78,50,8635,1948,1948,240,2008,127000
79,90,10778,1968,NA,0,2010,136500
80,50,10440,1910,1966,440,2009,110000
81,60,13000,1968,1968,509,2009,193500
82,120,4500,1998,1998,405,2006,153500
83,20,10206,2007,2007,758,2008,245000
84,20,8892,1960,1974,461,2007,126500
85,80,8530,1995,1995,400,2009,168500
86,60,16059,1991,1991,462,2006,260000
87,60,11911,2005,2005,400,2009,174000
88,160,3951,2009,2009,528,2009,164500
89,50,8470,1915,NA,0,2009,85000
90,20,8070,1994,NA,0,2007,123600
91,20,7200,1950,1950,420,2006,109900
92,20,8500,1961,1961,480,2006,98600
93,30,13360,1921,1921,432,2009,163500
94,190,7200,1910,1900,506,2007,133900
95,60,9337,1997,1997,684,2007,204750
96,60,9765,1993,1993,420,2009,185000
97,20,10264,1999,1999,472,2006,214000
98,20,10921,1965,1965,432,2007,94750
99,30,10625,1920,1920,366,2010,83000
100,20,9320,1959,NA,0,2010,128950
101,20,10603,1977,1977,480,2010,205000
102,60,9206,1985,1985,476,2010,178000
103,90,7018,1979,1979,410,2009,118964
104,20,10402,2009,2009,740,2010,198900
105,50,7758,1931,1951,240,2007,169500
106,60,9375,2003,2003,648,2008,250000
107,30,10800,1885,1954,273,2007,100000
108,20,6000,1948,1948,250,2008,115000
109,50,8500,1919,NA,0,2007,115000
110,20,11751,1977,1977,546,2010,190000
111,50,9525,1954,1954,325,2006,136900
112,80,7750,2000,2000,400,2010,180000
113,60,9965,2007,2007,792,2007,383970
114,20,21000,1953,1953,450,2007,217000
115,70,7259,1945,1945,180,2007,259500
116,160,3230,1999,1999,440,2007,176000
117,20,11616,1962,1962,288,2009,139000
118,20,8536,2006,2007,430,2007,155000
119,60,12376,1990,1990,594,2010,320000
120,60,8461,2005,2005,390,2006,163990
121,80,21453,1969,1969,540,2006,180000
122,50,6060,1939,1979,264,2007,100000
123,20,9464,1958,1958,288,2008,136000
124,120,7892,1993,1993,530,2008,153900
125,20,17043,1979,1979,435,2009,181000
126,190,6780,1935,NA,0,2006,84500
127,120,4928,1976,1977,440,2007,128000
128,45,4388,1930,NA,0,2007,87000
129,60,7590,1966,1966,453,2006,155000
130,20,8973,1958,1998,750,2006,150000
131,60,14200,1966,1966,487,2006,226000
132,60,12224,2000,2000,390,2009,244000
133,20,7388,1959,1974,624,2007,150750
134,20,6853,2001,2001,471,2009,220000
135,20,10335,1968,1968,440,2006,180000
136,20,10400,1970,1970,530,2008,174000
137,20,10355,1967,1967,318,2007,143000
138,90,11070,1988,1989,766,2006,171000
139,60,9066,1999,1999,660,2008,230000
140,60,15426,1997,1997,470,2009,231500
141,20,10500,1971,NA,0,2010,115000
142,20,11645,2005,2005,660,2006,260000
143,50,8520,1952,2000,720,2010,166000
144,20,10335,1999,1999,577,2009,204000
145,90,9100,1963,1963,504,2006,125000
146,160,2522,2004,2004,380,2006,130000
147,30,6120,1931,1931,180,2009,105000
148,60,9505,2001,2001,434,2010,222500
149,20,7500,2004,NA,0,2008,141000
150,50,6240,1936,1936,240,2006,115000
151,20,10356,1975,1975,440,2007,122000
152,20,13891,2007,2007,866,2008,372402
153,60,14803,1971,1971,495,2006,190000
154,20,13500,1960,1960,564,2008,235000
155,30,11340,1923,1923,312,2006,125000
156,50,9600,1924,NA,0,2008,79000
157,20,7200,1950,1950,625,2006,109500
158,60,12003,2009,2009,680,2010,269500
159,60,12552,2004,2004,678,2010,254900
160,60,19378,2005,2006,576,2006,320000
161,20,11120,1984,1984,516,2008,162500
162,60,13688,2003,2003,726,2008,412500
163,20,12182,2005,2005,532,2010,220000
164,45,5500,1956,NA,0,2007,103200
165,40,5400,1926,1926,216,2007,152000
166,190,10106,1940,NA,0,2008,127500
167,20,10708,1955,1955,303,2009,190000
168,60,10562,2007,2007,789,2007,325624
169,60,8244,2004,2004,440,2007,183500
170,20,16669,1981,1981,511,2006,228000
171,50,12358,1941,1991,660,2007,128500
172,20,31770,1960,1960,528,2010,215000
173,160,5306,1987,1987,504,2006,239000
174,20,10197,1961,1961,504,2008,163000
175,20,12416,1986,1986,616,2008,184000
176,20,12615,1950,1950,576,2007,243000
177,60,10029,1988,1988,521,2007,211000
178,50,13650,1958,1958,451,2006,172500
179,20,17423,2008,2009,1166,2009,501837
180,30,8520,1923,1935,480,2007,100000
181,160,2117,2000,2000,440,2007,177000
182,70,7588,1920,1920,216,2006,200100
183,20,9060,1957,1957,252,2007,120000
